"","id","measurer","measurer_name","project","project_name","date","measure_date","status","comment","datastatus","dataorigname","fieldstatus","fieldorigname","siteids","errors","processed","valid"
"23",1942,45,"msantonja",1,"HoliSoils","2024-10-30T11:45:48.357302Z","2023-08-22","submitted","saint christol ","undetermined","2023-08-22_st_christol_egm5_02.TXT","valid","2023-08-22_st_christol_egm5_02.xlsx","","",FALSE,TRUE
"24",1668,38,"lmattila",1,"HoliSoils","2024-10-17T09:17:45.245161Z","2024-10-15","retracted","Ränskälänkorpi","valid","2024-10-15_ranskalankorpi_ditches_licor_tg20-01033.txt","valid","2024-10-15_ranskalankorpi_ditches_licor_tg20-01033.xlsx","Ränskälänkorpi","",TRUE,TRUE
"25",1911,45,"msantonja",1,"HoliSoils","2024-10-29T19:38:42.223619Z","2024-01-24","submitted","Saint-Mitre","undetermined","2024-01-24_st_mitre_egm5_03.TXT","valid","2024-01-24_st_mitre_egm5_03.xlsx","","",FALSE,TRUE
"26",1767,45,"msantonja",1,"HoliSoils","2024-10-28T13:39:58.489932Z","2023-08-22","retracted","no comment","valid","2023-08-22_st_christol_egm5_01.TXT","valid","2023-08-22_st_christol_egm5_01.xlsx","St Christol","",TRUE,TRUE
"27",2007,45,"msantonja",1,"HoliSoils","2024-10-31T21:46:40.878887Z","2024-01-30","retracted","saint christol ","valid","2023-11-15_st_christol_egm5_01corrected.TXT","valid","2023-11-15_st_christol_egm5_01.xlsx","St Christol","",TRUE,TRUE
"28",2002,45,"msantonja",1,"HoliSoils","2024-10-31T21:40:36.492017Z","2023-11-15","retracted","saint christol ","valid","2023-07-20_st_christol_egm5_01corrected.TXT","valid","2023-07-20_st_christol_egm5_01.xlsx","St Christol","errors calculating autotrims",TRUE,TRUE
"29",2059,38,"lmattila",1,"HoliSoils","2024-11-05T09:24:21.184836Z","2023-01-01","retracted","Ränskälänkorpi","valid","2024-10-15_ranskalankorpi_surfaces_licor_tg20-01033.txt","valid","2024-10-15_ranskalankorpi_surfaces_licor_tg20-01033.xlsx","Ränskälänkorpi","",TRUE,TRUE
"30",2614,11,"fweikl",1,"HoliSoils","2025-04-17T14:46:21.625106Z","2022-10-04","submitted","incl tomst data","undetermined","KelM_22_10_04.csv","undetermined","KelM_22_10_04_ghg_field_form_done.xlsx","","",FALSE,TRUE
"31",2607,11,"fweikl",1,"HoliSoils","2025-04-17T14:42:21.112959Z","2022-05-11","submitted","incl tomst data","undetermined","KelM_22_05_11.csv","valid","KelM_22_05_11_ghg_field_form_done.xlsx","","",FALSE,TRUE
"32",2610,11,"fweikl",1,"HoliSoils","2025-04-17T14:44:13.552778Z","2022-08-01","submitted","incl tomst data","undetermined","KelM_22_08_01.csv","undetermined","KelM_22_08_01_ghg_field_form_done.xlsx","","",FALSE,TRUE
"33",2612,11,"fweikl",1,"HoliSoils","2025-04-17T14:45:13.120827Z","2022-09-01","submitted","incl tomst data","undetermined","KelM_22_09_01.csv","undetermined","KelM_22_09_01_ghg_field_form_done.xlsx","","",FALSE,TRUE
"34",2620,11,"fweikl",1,"HoliSoils","2025-04-17T16:13:51.226979Z","2022-04-13","submitted","incl tomst data","undetermined","KelS_22_04_13.csv","undetermined","KelS_22_04_13_ghg_field.xlsx","","",FALSE,TRUE
"35",2622,11,"fweikl",1,"HoliSoils","2025-04-17T16:14:30.709592Z","2022-06-30","submitted","incl tomst data","undetermined","KelS_22_06_30.csv","undetermined","KelS_22_06_30_ghg_field_form.xlsx","","",FALSE,TRUE
"36",2623,11,"fweikl",1,"HoliSoils","2025-04-17T16:15:09.109735Z","2022-07-18","submitted","incl tomst data","undetermined","KelS_22_07_18.csv","undetermined","KelS_22_07_18_ghg_field_form.xlsx","","",FALSE,TRUE
"37",2264,10,"sfilipek",1,"HoliSoils","2024-11-16T19:19:27.488553Z","2022-05-04","retracted","Netherlands","valid","ghg_data_file_holisoils_general_May_4_2022.txt","valid","ghg_field_form_holisoils_general_May_4_2022.xlsx","Kroondomein","",TRUE,TRUE
"38",2262,10,"sfilipek",1,"HoliSoils","2024-11-16T19:03:21.611681Z","2022-05-02","retracted","Netherlands","valid","ghg_data_file_holisoils_general_May_2_2022.txt","valid","ghg_field_form_holisoils_general_May_2_2022.xlsx","Zwolse Bos","",TRUE,TRUE
"39",2263,10,"sfilipek",1,"HoliSoils","2024-11-16T19:14:13.947543Z","2022-05-03","retracted","Netherlands","valid","ghg_data_file_holisoils_general_May_3_2022.txt","valid","ghg_field_form_holisoils_general_May_3_2022.xlsx","NP Hoge Veluwe Kroondomein","",TRUE,TRUE
